Tweet,Label
Koneksi internet yang sangat menjengkelkan. <PROVIDER_NAME> #lemot,Negative
Ini sinyal H+ palsu. Seperti H+ rasa edge. <PROVIDER_NAME> <PROVIDER_NAME>,Negative
Pelanggan <PROVIDER_NAME> <PROVIDER_NAME> yg ada di area #Pandeglangkota dirugikan krn jaringan telponnya rusak dan tidak diperbaiki,Negative
Hati-hati Tukang Tipu!! <PROVIDER_NAME>,Negative
Sedih. Pakai <PROVIDER_NAME> 4G gak stabil.,Negative
Jarigan <PROVIDER_NAME> lelet. Karena gangguan atau rusak ya,Negative
"Daerah Jagakarsa, pakai <PROVIDER_NAME> sinyalnya jelek, yang satu H+ gak dapat 4G, yang satu dapat 4G tapi gak ada sinyal?",Negative
<PROVIDER_NAME> cacat,Negative
<PROVIDER_NAME> tumbang di kota Semarang,Negative
Kuotaku masih banyak internetan aja gak bisa <PROVIDER_NAME> <PROVIDER_NAME>Care <PROVIDER_NAME>,Negative
Selalu Lemot <PROVIDER_NAME>,Negative
RT <USER_MENTION>: Buat <PROVIDER_NAME> setelah kuota habis saya mau ganti provider,Negative
<PROVIDER_NAME> memang jancok! sinyal payah,Negative
saya paling tidak pernah pakai  <PROVIDER_NAME>,Negative
RT <USER_MENTION>: Belum ada permintaan maaf dan pernyataan apapun? Lanjut boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME> <URL>,Negative
<PROVIDER_NAME> masa kuota malam saya sudah habis duluan? Logikanya dimana? <URL>,Negative
"RT <USER_MENTION>: <PROVIDER_NAME> ini <PROVIDER_NAME> di sini jaringan 4G nya penuh, cuma ga mau konek ke internet...",Negative
"Fungsinya data lokal, 4G sama Flash apa? Toh mau 4G atau 3G yang terpakai duluan data lokalnya. mahal lagi. <PROVIDER_NAME>",Negative
"Wajar saja <PROVIDER_NAME> dihack, harga mahal banget dan koneksi lambat lagi <PROVIDER_NAME>mahal <PROVIDER_NAME>",Negative
Selalu saja ada masalah #Indonesia <PROVIDER_NAME> #konsumen <USER_MENTION>,Negative
<PROVIDER_NAME> KENAPA. sinyal hilang mulu,Negative
Data yang sama sekali tidak ada manfaatnya. <PROVIDER_NAME> <URL> …,Negative
<PROVIDER_NAME> goblok banget sih sekarang <PROVIDER_NAME> #jadimurahan,Negative
Padahal udah settingan 3G tapi kenapa kuota 3G tidak bisa dipakai malah menguras pulsa yaa? #Tanya <PROVIDER_NAME>,Negative
Sudah mahal sinyalnya jelek lagi... <PROVIDER_NAME> bangsat anjing...,Negative
Jeleknya jaringan internet. <PROVIDER_NAME>,Negative
Cuma di area Pandeglang kota.. jaringan <PROVIDER_NAME> buruk jelek. Kejadian ini sudah berlangsung sebulan lamanya. <PROVIDER_NAME>Care <PROVIDER_NAME>payah <PROVIDER_NAME> harus dihack,Negative
"benar2 kacau. Baru isi kuota, datanya langsung habis. <PROVIDER_NAME>",Negative
Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME>,Negative
Ayo yang masih pakai kartu <PROVIDER_NAME> Segera buang ke Got ya,Negative
#Boikot<PROVIDER_NAME>..saatnya hijrah ke ..selamat tinggal <PROVIDER_NAME>..,Negative
"Sudah tarifnya paling mahal, ditambah jaringan yang semakin hari semakin susah! <PROVIDER_NAME> mengesalkan banget",Negative
"<PROVIDER_NAME> Pulsanya masih ada, TM masih banyak, mau nelpon ke sesama simpati katanya pulsa gak cukup, kampret ini <PROVIDER_NAME>",Negative
"Tadinya berharap paling bagus untuk kerja online,Ternyata internetnya tidak seSimpati namanya <PROVIDER_NAME> <URL>",Negative
Jaringan internet <PROVIDER_NAME> di sumba timur parah....,Negative
Kualitas jaringan <PROVIDER_NAME> sangat menurun di wilayah Sukabumi.,Negative
Ternyata tidak cuma saya yang mengeluh karena sinyal atau pelayanan <PROVIDER_NAME> dalam jaringan internet masih kurang,Negative
"Sudah tengah malam, jaringan kok masih super lelet <PROVIDER_NAME> gak berkualitas",Negative
Sinyal <PROVIDER_NAME> yang sangat menyedihkan,Negative
<PROVIDER_NAME> makin bangsat kalau dibiarin,Negative
<PROVIDER_NAME> memang bangsat gemas duh,Negative
Signal <PROVIDER_NAME> Mentari makin lama makin memprihatinkan. Saatnya memikirkan untuk ganti kartu. Kecewa <PROVIDER_NAME>,Negative
<PROVIDER_NAME> apakah <PROVIDER_NAME> lagi gangguan di daerah kramat jati? Sumpah sudah lelet banget padahal sudah 4g,Negative
"<PROVIDER_NAME> kenapa <PROVIDER_NAME> super lelet? 4g tp kecepatan 0,1 1 kb/s. gangguan atau gimana sih?",Negative
tai <PROVIDER_NAME>,Negative
